title,vote_average,vote_count,budget,revenue,imdb_id,genres,id
Tomorrowland,6.3,7196,190000000,209200000,tt1964418,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",158852
Cinderella,6.8,7248,95000000,543514353,tt1661199,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",150689
Creed,7.407,7739,37000000,173600000,tt3076658,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",312221
Ted 2,6.316,7789,68000000,215863606,tt2637276,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",214756
Pixels,5.8,7828,88000000,244874809,tt2120120,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]",257344
Focus,6.871,8097,50100000,153962963,tt2381941,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",256591
Chappie,6.784,8231,49000000,104399548,tt1823672,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",198184
Spotlight,7.8,8541,20000000,98690254,tt1895587,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",314365
Terminator Genisys,5.946,8730,155000000,440603537,tt1340138,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",87101
San Andreas,6.2,8820,110000000,473990832,tt2126355,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",254128
Sicario,7.415,9182,30000000,84997446,tt3397884,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",273481
Mission: Impossible - Rogue Nation,7.2,9385,150000000,682716636,tt2381249,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",177677
Room,7.998,9479,13000000,35401758,tt3170832,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",264644
The Big Short,7.359,9484,28000000,133346506,tt1596363,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",318846
Insurgent,6.364,10237,110000000,297002527,tt2908446,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",262500
Maze Runner: The Scorch Trials,6.733,10768,61000000,312296056,tt4046784,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",294254
Minions,6.416,10879,74000000,1159457503,tt2293640,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",211672
Spectre,6.6,10917,245000000,880707597,tt2379713,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",206647
Furious 7,7.223,11018,190000000,1515400000,tt2820852,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",168259
Fifty Shades of Grey,5.879,12163,40000000,569651467,tt2322441,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",216015
The Hunger Games: Mockingjay - Part 2,6.899,13025,160000000,653428261,tt1951266,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",131634
The Hateful Eight,7.756,14812,44000000,155760117,tt3460252,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 37, 'name': 'Western'}]",273248
Kingsman: The Secret Service,7.6,17390,81000000,414351546,tt2802144,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",207703
The Revenant,7.537,18785,135000000,532950503,tt1663202,"[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",281957
Star Wars: The Force Awakens,7.254,20075,245000000,2068223624,tt2488496,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",140607
Ant-Man,7.067,20422,130000000,519311965,tt0478970,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",102899
The Martian,7.691,20590,108000000,631058917,tt3659388,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",286217
Jurassic World,6.699,21102,150000000,1671537444,tt0369610,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",135397
Inside Out,7.91,22924,175000000,857611174,tt2096673,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",150540
Mad Max: Fury Road,7.6,23511,150000000,378858340,tt1392190,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",76341
Avengers: Age of Ultron,7.271,23855,365000000,1405403694,tt2395427,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",99861
