title,genre_ids,vote_average,vote_count,release_year,id
The 5th Wave,"[878, 12, 28]",5.938,5892,2016,299687
Jason Bourne,"[28, 12, 53]",6.4,5987,2016,324668
Central Intelligence,"[28, 35]",6.417,6174,2016,302699
The Magnificent Seven,"[12, 28, 37]",6.47,6178,2016,333484
Manchester by the Sea,[18],7.548,6188,2016,334541
Independence Day: Resurgence,"[28, 12, 878]",5.35,6278,2016,47933
Kung Fu Panda 3,"[16, 28, 12, 35, 10751]",6.919,6360,2016,140300
The Legend of Tarzan,"[14, 28, 12]",5.914,6368,2016,258489
Inferno,"[9648, 53, 28]",6.085,6472,2016,207932
Alice Through the Looking Glass,"[12, 10751, 14]",6.56,6631,2016,241259
Ghostbusters,"[28, 14, 35]",5.349,6636,2016,43074
Captain Fantastic,"[12, 18]",7.891,6644,2016,334533
Lion,[18],8.042,6796,2016,334543
Allegiant,"[12, 878, 28, 9648]",6.107,6800,2016,262504
Star Trek Beyond,"[28, 12, 878]",6.782,6874,2016,188927
Nerve,"[9648, 12, 80]",7.008,6914,2016,328387
The Accountant,"[80, 53, 18]",7.13,7050,2016,302946
Warcraft,"[28, 12, 14]",6.39,7060,2016,68735
Moonlight,[18],7.366,7317,2016,376867
The Witch,"[27, 14, 18]",6.995,7401,2016,310131
Sully,"[18, 36]",7.194,7501,2016,363676
Sausage Party,"[12, 16, 35, 14]",5.75,7544,2016,223702
Don't Breathe,"[27, 53, 80]",7.016,7761,2016,300669
Assassin's Creed,"[28, 12, 878]",5.429,7953,2016,121856
Train to Busan,"[27, 53, 28, 12]",7.749,8042,2016,396535
Nocturnal Animals,"[18, 53]",7.4,8073,2016,340666
Sing,"[10751, 35, 10402, 16]",7.12,8251,2016,335797
The Jungle Book,"[10751, 12, 14]",6.867,8317,2016,278927
The Nice Guys,"[35, 80, 28]",7.123,8326,2016,290250
The Secret Life of Pets,"[10751, 35, 12, 16]",6.3,8332,2016,328111
10 Cloverfield Lane,"[53, 878, 18, 27]",6.994,8359,2016,333371
The Conjuring 2,[27],7.294,8934,2016,259693
