title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.2,4310,15700000,523542183,tt11032374,635302,"['Animation', 'Action', 'Fantasy', 'Thriller']",2020
Den of Thieves,6.9,3242,30000000,80509622,tt1259528,449443,"['Crime', 'Thriller', 'Action']",2018
Descendants,7.149,2444,0,0,tt3440298,277217,"['Family', 'Adventure', 'Fantasy', 'TV Movie', 'Music']",2015
Despicable Me 3,6.466,7450,80000000,1034800131,tt3469046,324852,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",2017
Despicable Me 4,7.015,2969,100000000,969597394,tt7510222,519182,"['Family', 'Comedy', 'Animation', 'Science Fiction']",2024
Dirty Grandpa,5.935,4498,11500000,94100000,tt1860213,291870,['Comedy'],2016
Doctor Sleep,7.143,4688,45000000,72385286,tt5606664,501170,"['Horror', 'Fantasy']",2019
Doctor Strange,7.4,22908,180000000,676343174,tt1211837,284052,"['Fantasy', 'Adventure', 'Action']",2016
Doctor Strange in the Multiverse of Madness,7.2,9869,290000000,955775804,tt9419884,453395,"['Fantasy', 'Action', 'Adventure']",2022
Dog,7.305,1692,20000000,84774243,tt11252248,626735,"['Drama', 'Comedy']",2022
Dogman,7.528,2257,0,5080147,tt6768578,483184,"['Crime', 'Drama', 'Thriller']",2018
Dogman,7.877,1265,0,4082217,tt17009348,944401,"['Action', 'Drama', 'Crime']",2023
Dolittle,6.588,3763,175000000,251410631,tt6673612,448119,"['Family', 'Comedy', 'Fantasy', 'Adventure']",2020
Don't Breathe,7.016,7757,9900000,158906350,tt4160708,300669,"['Horror', 'Thriller', 'Crime']",2016
Don't Breathe 2,7.019,2719,15000000,53785551,tt6246322,482373,"['Thriller', 'Horror']",2021
Don't Look Up,7.067,8882,75000000,791863,tt11286314,646380,"['Comedy', 'Science Fiction']",2021
Don't Move,6.337,895,0,0,tt24807110,1063877,"['Horror', 'Thriller']",2024
Don't Worry Darling,6.779,2777,35000000,86700000,tt10731256,619730,"['Science Fiction', 'Mystery', 'Thriller']",2022
Downsizing,5.387,3974,68000000,55003890,tt1389072,301337,"['Drama', 'Science Fiction', 'Comedy']",2017
Dragon Ball Super: Broly,7.903,3034,1000000,125002821,tt7961060,503314,"['Action', 'Science Fiction', 'Animation']",2018
Dragon Ball Super: Super Hero,7.887,2947,0,86600000,tt14614892,610150,"['Animation', 'Science Fiction', 'Action']",2022
Dream Scenario,6.652,1153,10000000,14114415,tt21942866,823482,"['Comedy', 'Fantasy']",2023
Dumbo,6.591,4449,170000000,353284621,tt3861390,329996,"['Family', 'Fantasy', 'Adventure']",2019
Dune,7.8,14101,165000000,407573628,tt1160419,438631,"['Science Fiction', 'Adventure']",2021
Dune: Part Two,8.132,7187,190000000,714844358,tt15239678,693134,"['Science Fiction', 'Adventure']",2024
Dungeons & Dragons: Honor Among Thieves,7.332,4228,151000000,208200000,tt2906216,493529,"['Adventure', 'Fantasy', 'Comedy']",2023
Dunkirk,7.449,17102,150000000,527000000,tt5013056,374720,"['War', 'Action', 'Drama']",2017
El Camino: A Breaking Bad Movie,7.029,5351,0,0,tt9243946,559969,"['Crime', 'Drama', 'Thriller']",2019
Elemental,7.594,5024,200000000,496444308,tt15789038,976573,"['Family', 'Fantasy', 'Comedy', 'Romance', 'Animation']",2023
Elvis,7.478,3710,85000000,288670284,tt3704428,614934,"['Drama', 'Music', 'History']",2022
Emilia Pérez,6.511,1832,26000000,16302703,tt20221436,974950,"['Drama', 'Thriller']",2024
Emma.,7.0,1862,10000000,25200000,tt9214832,556678,"['Comedy', 'Romance']",2020
Encanto,7.58,9924,150000000,261292688,tt2953050,568124,"['Animation', 'Comedy', 'Family', 'Fantasy']",2021
Enola Holmes,7.2,6317,21000000,0,tt7846844,497582,"['Adventure', 'Mystery', 'Crime']",2020
Enola Holmes 2,7.3,1632,0,0,tt14641788,829280,"['Adventure', 'Mystery', 'Crime']",2022
Escape Room,6.5,4889,9000000,155712077,tt5886046,522681,"['Horror', 'Thriller', 'Mystery']",2019
Escape Room: Tournament of Champions,6.515,2169,15000000,65774490,tt9844522,585216,"['Horror', 'Thriller', 'Mystery']",2021
Escape from Pretoria,7.186,1419,0,2431995,tt5797184,502425,"['Drama', 'History', 'Thriller']",2020
Eternals,6.792,8824,200000000,402064899,tt9032400,524434,"['Science Fiction', 'Action', 'Adventure']",2021
Eurovision Song Contest: The Story of Fire Saga,6.421,1501,0,0,tt8580274,531454,"['Comedy', 'Music']",2020
Everest,6.827,5077,55000000,203427584,tt2719848,253412,"['Adventure', 'Drama', 'History']",2015
Every Day,7.25,2272,4900000,10400000,tt7026672,465136,"['Romance', 'Fantasy']",2018
Everything Everywhere All at Once,7.729,7431,25000000,139200000,tt6710474,545611,"['Action', 'Adventure', 'Science Fiction']",2022
"Everything, Everything",7.242,3723,10000000,61621140,tt5001718,417678,"['Drama', 'Romance']",2017
Evil Dead Rise,6.923,3432,15000000,147156372,tt13345606,713704,"['Horror', 'Thriller']",2023
Ex Machina,7.57,13814,15000000,36869414,tt0470752,264660,"['Drama', 'Science Fiction']",2015
Expend4bles,6.092,1762,100000000,37917985,tt3291150,299054,"['Action', 'Adventure', 'Thriller']",2023
Extraction,7.304,6382,65000000,0,tt8936646,545609,"['Action', 'Thriller']",2020
Extraction 2,7.406,2711,65000000,0,tt12263384,697843,"['Action', 'Thriller', 'Crime']",2023
"Extremely Wicked, Shockingly Evil and Vile",7.0,3459,0,0,tt2481498,457799,"['Drama', 'Crime']",2019
F9,7.033,7505,200000000,726229501,tt5433138,385128,"['Action', 'Adventure', 'Crime']",2021
Fall,7.123,4312,3000000,17363261,tt15325794,985939,['Thriller'],2022
Fantastic Beasts and Where to Find Them,7.31,19326,180000000,809342332,tt3183660,259316,"['Fantasy', 'Adventure']",2016
Fantastic Beasts: The Crimes of Grindelwald,6.8,11227,200000000,654900000,tt4123430,338952,"['Fantasy', 'Adventure']",2018
Fantastic Beasts: The Secrets of Dumbledore,6.636,4880,200000000,407200000,tt4123432,338953,"['Fantasy', 'Adventure']",2022
Fantastic Four,4.433,6262,120000000,167977596,tt1502712,166424,"['Action', 'Adventure', 'Science Fiction']",2015
Fantasy Island,5.771,2566,7000000,49500000,tt0983946,539537,"['Adventure', 'Fantasy', 'Horror', 'Mystery']",2020
Fast & Furious Presents: Hobbs & Shaw,6.845,7541,200000000,760098996,tt6806448,384018,"['Action', 'Adventure', 'Comedy']",2019
Fast X,7.017,6099,340000000,704709660,tt5433140,385687,"['Action', 'Crime', 'Thriller', 'Adventure', 'Mystery']",2023
Fatherhood,7.5,1481,0,0,tt4733624,607259,"['Drama', 'Comedy']",2021
Fear Street: 1666,7.094,1896,0,0,tt9701942,591275,"['Mystery', 'Horror']",2021
Fear Street: 1978,7.189,2110,0,0,tt9701940,591274,"['Horror', 'Mystery']",2021
Fear Street: 1994,6.689,2515,0,0,tt6566576,591273,"['Horror', 'Mystery']",2021
Feel the Beat,7.57,1143,0,0,tt10714856,707886,"['Comedy', 'Music', 'Drama']",2020
