title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner,cpi_multiplier,budget_2024,revenue_2024
Anatomy of a Fall,7.539,3006,6700000,35634133,tt17009710,915935,Mystery,2023,No,1.03,6901000.0,36703156.99
Anatomy of a Fall,7.539,3006,6700000,35634133,tt17009710,915935,Crime,2023,No,1.03,6901000.0,36703156.99
Angel Has Fallen,6.597,3722,40000000,146661977,tt6189022,423204,Action,2019,No,1.23,49200000.0,180394231.71
Angel Has Fallen,6.597,3722,40000000,146661977,tt6189022,423204,Thriller,2019,No,1.23,49200000.0,180394231.71
Anna,6.706,2856,34000000,31626978,tt7456310,484641,Action,2019,No,1.23,41820000.0,38901182.94
Anna,6.706,2856,34000000,31626978,tt7456310,484641,Adventure,2019,No,1.23,41820000.0,38901182.94
Anna,6.706,2856,34000000,31626978,tt7456310,484641,Thriller,2019,No,1.23,41820000.0,38901182.94
Annabelle Comes Home,6.409,3737,27000000,231252591,tt8350360,521029,Horror,2019,No,1.23,33210000.0,284440686.93
Annabelle: Creation,6.605,5856,15000000,306592201,tt5140878,396422,Horror,2017,No,1.28,19200000.0,392438017.28000003
Annihilation,6.434,9077,40000000,43070915,tt2798920,300668,Science Fiction,2018,No,1.25,50000000.0,53838643.75
Annihilation,6.434,9077,40000000,43070915,tt2798920,300668,Horror,2018,No,1.25,50000000.0,53838643.75
Anora,7.0,2729,6000000,56286295,tt28607951,1064213,Drama,2024,Yes,1.0,6000000.0,56286295.0
Anora,7.0,2729,6000000,56286295,tt28607951,1064213,Comedy,2024,Yes,1.0,6000000.0,56286295.0
Anora,7.0,2729,6000000,56286295,tt28607951,1064213,Romance,2024,Yes,1.0,6000000.0,56286295.0
Another Round,7.635,3576,5150000,21700000,tt10288566,580175,Comedy,2020,No,1.21,6231500.0,26257000.0
Another Round,7.635,3576,5150000,21700000,tt10288566,580175,Drama,2020,No,1.21,6231500.0,26257000.0
Ant-Man,7.1,20422,130000000,519311965,tt0478970,102899,Science Fiction,2015,No,1.32,171600000.0,685491793.8000001
Ant-Man,7.1,20422,130000000,519311965,tt0478970,102899,Action,2015,No,1.32,171600000.0,685491793.8000001
Ant-Man,7.1,20422,130000000,519311965,tt0478970,102899,Adventure,2015,No,1.32,171600000.0,685491793.8000001
Ant-Man and the Wasp,6.912,13827,140000000,622674139,tt5095030,363088,Action,2018,No,1.25,175000000.0,778342673.75
Ant-Man and the Wasp,6.912,13827,140000000,622674139,tt5095030,363088,Adventure,2018,No,1.25,175000000.0,778342673.75
Ant-Man and the Wasp,6.912,13827,140000000,622674139,tt5095030,363088,Science Fiction,2018,No,1.25,175000000.0,778342673.75
Ant-Man and the Wasp: Quantumania,6.256,5507,200000000,476071180,tt10954600,640146,Action,2023,No,1.03,206000000.0,490353315.40000004
Ant-Man and the Wasp: Quantumania,6.256,5507,200000000,476071180,tt10954600,640146,Adventure,2023,No,1.03,206000000.0,490353315.40000004
Ant-Man and the Wasp: Quantumania,6.256,5507,200000000,476071180,tt10954600,640146,Science Fiction,2023,No,1.03,206000000.0,490353315.40000004
Anyone But You,6.831,2788,25000000,214891370,tt26047818,1072790,Romance,2023,No,1.03,25750000.0,221338111.1
Anyone But You,6.831,2788,25000000,214891370,tt26047818,1072790,Comedy,2023,No,1.03,25750000.0,221338111.1
Apocalypse Z: The Beginning of the End,6.723,1168,0,500000,tt27599851,1118031,Drama,2024,No,1.0,0.0,500000.0
Apocalypse Z: The Beginning of the End,6.723,1168,0,500000,tt27599851,1118031,Action,2024,No,1.0,0.0,500000.0
Apocalypse Z: The Beginning of the End,6.723,1168,0,500000,tt27599851,1118031,Horror,2024,No,1.0,0.0,500000.0
