title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner
Avengers: Endgame,8.237,26925,356000000,2799439100,tt4154796,299534,"['Adventure', 'Science Fiction', 'Action']",2019,No
Avengers: Infinity War,8.235,31137,300000000,2052415039,tt4154756,299536,"['Adventure', 'Action', 'Science Fiction']",2018,No
Baby Driver,7.445,16372,34000000,226945087,tt3890160,339403,"['Action', 'Crime']",2017,No
Babygirl,5.739,1001,20000000,60934894,tt30057084,1097549,"['Drama', 'Romance']",2024,No
Babylon,7.373,3532,78000000,65267446,tt10640346,615777,"['Drama', 'Comedy']",2022,No
Bad Boys for Life,7.127,8541,90000000,426505244,tt1502397,38700,"['Thriller', 'Action', 'Crime']",2020,No
Bad Boys: Ride or Die,7.346,3113,100000000,404547819,tt4919268,573435,"['Action', 'Comedy', 'Crime', 'Thriller', 'Adventure']",2024,No
Bad Moms,6.494,4175,20000000,183936074,tt4651520,376659,['Comedy'],2016,No
Bad Times at the El Royale,6.845,3739,32000000,31882724,tt6628394,446021,"['Thriller', 'Mystery', 'Crime', 'Drama']",2018,No
Barbarian,6.839,2958,4500000,45400000,tt15791034,913290,"['Horror', 'Thriller']",2022,No
Barbie,6.946,10459,145000000,1447138421,tt1517268,346698,"['Comedy', 'Adventure']",2023,No
Batman v Superman: Dawn of Justice,5.987,18593,250000000,874362803,tt2975590,209112,"['Action', 'Adventure', 'Fantasy']",2016,No
Baywatch,6.091,8323,69000000,177900000,tt1469304,339846,"['Comedy', 'Action', 'Crime']",2017,No
Beast,6.542,1665,0,56000000,tt13223398,760741,"['Thriller', 'Action', 'Horror', 'Adventure']",2022,No
Beating Hearts,7.198,917,37315205,36010728,tt27490099,959604,"['Romance', 'Crime', 'Drama']",2024,No
Beau Is Afraid,6.718,1225,35000000,12337378,tt13521006,798286,"['Comedy', 'Adventure', 'Fantasy']",2023,No
Beautiful Boy,7.552,2742,25000000,7700000,tt1226837,451915,['Drama'],2018,No
Beauty and the Beast,7.0,15819,160000000,1266115964,tt2771200,321612,"['Family', 'Fantasy', 'Romance']",2017,No
Beetlejuice Beetlejuice,6.961,2844,99000000,452000435,tt2049403,917496,"['Comedy', 'Fantasy', 'Horror']",2024,No
Before I Fall,6.963,3483,5000000,16373843,tt1691916,397837,"['Drama', 'Fantasy']",2017,No
Belfast,7.052,1610,11000000,49158343,tt12789558,777270,"['Drama', 'History']",2021,No
Beverly Hills Cop: Axel F,6.7,1325,150000000,0,tt3083016,280180,"['Action', 'Comedy', 'Crime']",2024,No
Bird Box,6.826,10302,19800000,0,tt2737304,405774,"['Horror', 'Thriller', 'Drama']",2018,No
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),6.9,10581,75000000,205537933,tt7713068,495764,"['Action', 'Crime']",2020,No
BlacKkKlansman,7.492,7865,15000000,93411426,tt7349662,487558,"['Crime', 'Comedy', 'Drama', 'History']",2018,No
Black Adam,6.833,6766,200000000,393452111,tt6443346,436270,"['Action', 'Adventure', 'Science Fiction']",2022,No
Black Mass,6.523,3487,53000000,99975678,tt1355683,261023,"['Drama', 'Crime', 'History']",2015,No
Black Mirror: Bandersnatch,6.763,4054,0,0,tt9495224,569547,"['Science Fiction', 'Mystery', 'Drama']",2018,No
Black Panther,7.4,22947,200000000,1349926083,tt1825683,284054,"['Action', 'Adventure', 'Science Fiction']",2018,No
Black Panther: Wakanda Forever,7.0,7101,250000000,859102154,tt9114286,505642,"['Action', 'Adventure', 'Science Fiction']",2022,No
Black Widow,7.188,10849,200000000,379751131,tt3480822,497698,"['Action', 'Adventure', 'Science Fiction']",2021,No
Blackhat,5.514,2118,70000000,17752940,tt2717822,201088,"['Crime', 'Thriller', 'Action']",2015,No
Blade Runner 2049,7.587,14536,150000000,259239658,tt1856101,335984,"['Science Fiction', 'Drama']",2017,No
Blink Twice,6.681,1667,20000000,46393906,tt14858658,840705,"['Mystery', 'Thriller']",2024,No
Blonde,5.929,1462,22000000,0,tt1655389,301502,['Drama'],2022,No
Blood Red Sky,6.813,1647,17739525,0,tt6402468,760883,"['Horror', 'Thriller', 'Action']",2021,No
Bloodshot,6.696,5123,42000000,39861118,tt1634106,338762,"['Action', 'Science Fiction', 'Adventure']",2020,No
Blue Beetle,6.659,2941,104000000,130788072,tt9362930,565770,"['Action', 'Science Fiction', 'Adventure']",2023,No
Bob Marley: One Love,6.647,899,70000000,180828556,tt8521778,802219,"['Music', 'History', 'Drama']",2024,No
Bodies Bodies Bodies,6.177,1349,3000000,13900000,tt8110652,520023,"['Horror', 'Comedy', 'Mystery']",2022,No
Bohemian Rhapsody,7.964,17394,52000000,910813521,tt1727824,424694,"['Music', 'Drama']",2018,No
Bombshell,6.784,3112,32000000,61404394,tt6394270,525661,['Drama'],2019,No
Bone Tomahawk,6.875,2413,1800000,475846,tt2494362,294963,"['Western', 'Horror', 'Drama']",2015,No
Bones and All,7.027,1518,16000000,15234907,tt10168670,791177,"['Horror', 'Romance', 'Drama']",2022,No
Booksmart,7.009,2751,6000000,24849029,tt1489887,505600,['Comedy'],2019,No
Borat Subsequent Moviefilm,6.437,2722,0,0,tt13143964,740985,['Comedy'],2020,No
Borderlands,5.617,1336,115000000,33017367,tt4978420,365177,"['Action', 'Science Fiction', 'Comedy']",2024,No
Boss Level,6.86,1784,45000000,2000000,tt7638348,513310,"['Action', 'Science Fiction', 'Thriller']",2021,No
Brahms: The Boy II,5.88,1270,10000000,20311536,tt9173418,555974,"['Horror', 'Mystery', 'Thriller']",2020,No
Bridge of Spies,7.2,7083,40000000,165478348,tt3682448,296098,"['Thriller', 'Drama']",2015,No
Bridget Jones's Baby,6.4,3022,35000000,211952420,tt1473832,95610,"['Drama', 'Comedy', 'Romance']",2016,No
Bright,6.2,5837,90000000,0,tt5519340,400106,"['Fantasy', 'Action', 'Thriller']",2017,No
Brightburn,6.134,3326,6000000,33224654,tt7752126,531309,"['Horror', 'Science Fiction']",2019,No
Brooklyn,7.31,3186,11000000,62076141,tt2381111,167073,"['Romance', 'Drama', 'History']",2015,No
Bullet Train,7.4,7041,90000000,239300000,tt12593682,718930,"['Action', 'Comedy', 'Thriller']",2022,No
Bumblebee,6.718,6431,135000000,467989645,tt4701182,424783,"['Action', 'Adventure', 'Science Fiction']",2018,No
Burnt,6.515,3471,20000000,36606743,tt2503944,295964,['Drama'],2015,No
CODA,7.903,2426,10000000,1905058,tt10366460,776503,"['Drama', 'Music', 'Romance']",2021,Yes
Call Me by Your Name,8.102,12494,3500000,43143046,tt5726616,398818,"['Romance', 'Drama']",2017,No
Candyman,5.999,1679,25000000,77411570,tt9347730,565028,"['Horror', 'Thriller']",2021,No
Captain America: Civil War,7.4,23515,250000000,1155046416,tt3498820,271110,"['Adventure', 'Action', 'Science Fiction']",2016,No
Captain Fantastic,7.891,6644,5000000,23123592,tt3553976,334533,"['Adventure', 'Drama']",2016,No
Captain Marvel,6.8,16351,152000000,1131416446,tt4154664,299537,"['Action', 'Adventure', 'Science Fiction']",2019,No
Carol,7.495,3851,11800000,40272135,tt2402927,258480,"['Romance', 'Drama']",2015,No
Carry-On,6.889,2477,47000000,0,tt21382296,1005331,"['Thriller', 'Action']",2024,No
Cars 3,6.855,6191,175000000,383925276,tt3606752,260514,"['Animation', 'Adventure', 'Comedy', 'Family']",2017,No
Central Intelligence,6.417,6174,50000000,216972543,tt1489889,302699,"['Action', 'Comedy']",2016,No
Challengers,6.939,2427,55000000,94182533,tt16426418,937287,"['Drama', 'Romance']",2024,No
Chaos Walking,6.562,2458,125000000,26508132,tt2076822,412656,"['Fantasy', 'Science Fiction', 'Adventure']",2021,No
Chappie,6.784,8231,49000000,104399548,tt1823672,198184,"['Crime', 'Action', 'Science Fiction']",2015,No
Charlie's Angels,6.4,3072,48000000,73279888,tt5033998,458897,"['Action', 'Adventure', 'Comedy']",2019,No
Chemical Hearts,7.319,1143,0,0,tt5843876,621013,"['Drama', 'Romance']",2020,No
Chip 'n Dale: Rescue Rangers,6.999,1314,70000000,623190,tt3513500,420821,"['Animation', 'Family', 'Comedy', 'Adventure', 'Mystery']",2022,No
