title,genre_ids,vote_average,vote_count,release_year,id
Winnie the Pooh: Blood and Honey,"[27, 53]",4.993,1511,2023,980078
Nowhere,"[53, 18]",7.336,1488,2023,1151534
Teenage Mutant Ninja Turtles: Mutant Mayhem,"[16, 35, 28, 878]",7.211,1488,2023,614930
Thanksgiving,"[27, 9648]",6.483,1454,2023,1071215
"Red, White & Royal Blue","[35, 10749]",7.9,1453,2023,930094
There's Still Tomorrow,"[18, 35, 36]",8.1,1440,2023,1026227
Hypnotic,"[9648, 878, 53, 28, 18]",6.206,1379,2023,536437
Godzilla Minus One,"[878, 27, 28]",7.592,2871,2023,940721
Anyone But You,"[10749, 35]",6.831,2789,2023,1072790
Creed III,"[18, 28]",7.1,2745,2023,677179
Extraction 2,"[28, 53, 80]",7.406,2713,2023,697843
Saltburn,"[18, 35, 53]",6.962,2696,2023,930564
65,"[28, 12, 878]",5.964,2679,2023,700391
A Haunting in Venice,"[9648, 53, 80]",6.585,2642,2023,945729
Sound of Freedom,"[28, 18]",7.979,2628,2023,678512
The Killer,"[80, 53]",6.579,2560,2023,800158
Plane,"[28, 12, 53]",6.907,2506,2023,646389
Rebel Moon - Part One: A Child of Fire,"[878, 28, 12]",6.239,2411,2023,848326
The Boy and the Heron,"[16, 12, 14, 10751, 18]",7.414,2388,2023,508883
The Zone of Interest,"[18, 36]",7.003,2353,2023,467244
The Nun II,[27],6.675,2349,2023,968051
Cocaine Bear,"[53, 35, 80]",6.022,2285,2023,804150
Asteroid City,"[35, 18]",6.441,2286,2023,747188
Saw X,"[27, 9648]",7.193,2216,2023,951491
The Holdovers,"[35, 18]",7.7,2210,2023,840430
Air,"[18, 36]",7.3,2197,2023,964980
Migration,"[10751, 35, 12, 16]",7.4,2124,2023,940551
No Hard Feelings,"[35, 10749]",6.699,3571,2023,884605
The Creator,"[878, 28, 12]",7.027,3561,2023,670292
Talk to Me,[27],7.142,3487,2023,1008042
Shazam! Fury of the Gods,"[35, 28, 14]",6.4,3474,2023,594767
The Equalizer 3,"[28, 53, 80]",7.3,3468,2023,926393
Evil Dead Rise,"[27, 53]",6.923,3435,2023,713704
Society of the Snow,"[18, 36]",8.0,3299,2023,906126
Aquaman and the Lost Kingdom,"[28, 12, 14]",6.6,3268,2023,572802
