title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner,cpi_multiplier,budget_2024,revenue_2024
Uncut Gems,7.151,5105,19000000,50023780,tt5727208,473033,"['Drama', 'Thriller', 'Crime']",2019,No,1.23,23370000.0,61529249.4
Under Paris,5.932,1347,0,0,tt13964390,1001311,"['Action', 'Horror']",2024,No,1.0,0.0,0.0
Underwater,6.283,3300,50000000,40882928,tt5774060,443791,"['Horror', 'Science Fiction', 'Action', 'Adventure']",2020,No,1.21,60500000.0,49468342.879999995
Underworld: Blood Wars,5.911,3825,35000000,81093313,tt3717252,346672,"['Fantasy', 'Action', 'Thriller', 'Science Fiction', 'Horror']",2016,No,1.31,45850000.0,106232240.03
Unhinged,6.438,2407,33000000,39238300,tt10059518,625568,"['Action', 'Thriller', 'Horror']",2020,No,1.21,39930000.0,47478343.0
Upgrade,7.497,4746,3000000,16976561,tt6499752,500664,"['Action', 'Thriller', 'Science Fiction']",2018,No,1.25,3750000.0,21220701.25
Upgraded,7.186,947,0,0,tt21830902,1014590,"['Romance', 'Comedy']",2024,No,1.0,0.0,0.0
Us,6.954,7797,20000000,256067149,tt6857112,458723,"['Horror', 'Mystery']",2019,No,1.23,24600000.0,314962593.27
Vacation,6.304,3863,31000000,104400000,tt1524930,296099,"['Comedy', 'Adventure']",2015,No,1.32,40920000.0,137808000.0
Valerian and the City of a Thousand Planets,6.631,7762,177200000,225973340,tt2239822,339964,"['Adventure', 'Science Fiction', 'Action']",2017,No,1.28,226816000.0,289245875.2
Venom,6.8,16842,116000000,856085151,tt1270797,335983,"['Science Fiction', 'Action']",2018,No,1.25,145000000.0,1070106438.75
Venom: Let There Be Carnage,6.76,10869,110000000,506863592,tt7097896,580489,"['Science Fiction', 'Action', 'Adventure']",2021,No,1.16,127599999.99999999,587961766.7199999
Venom: The Last Dance,6.683,3842,120000000,478937618,tt16366836,912649,"['Action', 'Science Fiction', 'Adventure']",2024,No,1.0,120000000.0,478937618.0
Vice,7.016,3483,60000000,76100000,tt6266538,429197,"['Drama', 'Comedy']",2018,No,1.25,75000000.0,95125000.0
Victor Frankenstein,5.948,2202,40000000,34200000,tt1976009,228066,"['Drama', 'Science Fiction', 'Thriller']",2015,No,1.32,52800000.0,45144000.0
Violent Night,7.237,2378,20000000,75734910,tt12003946,899112,"['Action', 'Comedy', 'Fantasy']",2022,No,1.07,21400000.0,81036353.7
Vivarium,6.047,2358,4000000,488000,tt8368406,458305,"['Science Fiction', 'Thriller', 'Mystery', 'Horror']",2019,No,1.23,4920000.0,600240.0
War Dogs,6.9,5237,50000000,86234523,tt2005151,308266,"['Comedy', 'Crime', 'Drama']",2016,No,1.31,65500000.0,112967225.13000001
War for the Planet of the Apes,7.211,9439,150000000,490719763,tt3450958,281338,"['Drama', 'Science Fiction', 'War']",2017,No,1.28,192000000.0,628121296.64
Warcraft,6.39,7060,160000000,433677183,tt0803096,68735,"['Action', 'Adventure', 'Fantasy']",2016,No,1.31,209600000.0,568117109.73
We Are Your Friends,6.786,2402,6000000,11100000,tt3787590,301351,"['Drama', 'Music', 'Romance', 'Comedy']",2015,No,1.32,7920000.0,14652000.0
We Live in Time,7.259,1103,20000000,37182814,tt27131358,1100099,"['Romance', 'Drama']",2024,No,1.0,20000000.0,37182814.0
Weathering with You,8.0,2495,0,186965409,tt9426210,568160,"['Animation', 'Drama', 'Fantasy', 'Romance']",2019,No,1.23,0.0,229967453.07
Werewolf by Night,6.978,1432,0,0,tt15318872,894205,"['Action', 'Fantasy', 'Horror']",2022,No,1.07,0.0,0.0
West Side Story,6.956,1694,100000000,76016171,tt3581652,511809,"['Drama', 'Romance', 'Crime']",2021,Yes,1.16,115999999.99999999,88178758.36
What Happened to Monday,7.155,6286,20000000,27975429,tt1536537,406990,"['Science Fiction', 'Thriller', 'Mystery', 'Action']",2017,No,1.28,25600000.0,35808549.12
When Evil Lurks,7.209,1306,0,2090252,tt16300962,744857,"['Horror', 'Thriller']",2023,No,1.03,0.0,2152959.56
When We First Met,6.56,2328,10000000,0,tt5783956,433310,"['Comedy', 'Romance', 'Fantasy']",2018,No,1.25,12500000.0,0.0
Where the Crawdads Sing,7.543,2095,24000000,144353965,tt9411972,682507,"['Drama', 'Mystery', 'Romance']",2022,No,1.07,25680000.0,154458742.55
Why Him?,6.38,4295,38000000,118102725,tt4501244,356305,['Comedy'],2016,No,1.31,49780000.0,154714569.75
Wicked,6.906,2542,150000000,757961815,tt1262426,402431,"['Drama', 'Romance', 'Fantasy']",2024,No,1.0,150000000.0,757961815.0
Widows,6.486,2395,42000000,73900000,tt4218572,401469,"['Crime', 'Thriller', 'Drama']",2018,No,1.25,52500000.0,92375000.0
Wind River,7.4,5544,11000000,44998252,tt5362988,395834,"['Crime', 'Mystery', 'Thriller', 'Drama']",2017,No,1.28,14080000.0,57597762.56
Winnie the Pooh: Blood and Honey,4.993,1511,100000,7717044,tt19623240,980078,"['Horror', 'Thriller']",2023,No,1.03,103000.0,7948555.32
Wish,6.272,1687,175000000,254997360,tt11304740,1022796,"['Animation', 'Family', 'Fantasy', 'Adventure']",2023,No,1.03,180250000.0,262647280.8
Wolfs,6.546,1269,80000000,0,tt14257582,877817,"['Crime', 'Comedy', 'Action']",2024,No,1.0,80000000.0,0.0
Wolfwalkers,8.205,1305,12000000,1310720,tt5198068,441130,"['Animation', 'Family', 'Adventure', 'Fantasy']",2020,No,1.21,14520000.0,1585971.2
Woman of the Hour,6.4,900,836057,0,tt7737800,835113,"['Crime', 'Drama', 'Thriller']",2024,No,1.0,836057.0,0.0
Wonder,8.1,8097,20000000,315025930,tt2543472,406997,"['Family', 'Drama']",2017,No,1.28,25600000.0,403233190.40000004
Wonder Woman,7.214,20527,149000000,823970682,tt0451279,297762,"['Action', 'Adventure', 'Fantasy']",2017,No,1.28,190720000.0,1054682472.96
Wonder Woman 1984,6.392,8816,200000000,169601036,tt7126948,464052,"['Action', 'Adventure', 'Fantasy']",2020,No,1.21,242000000.0,205217253.56
Wonka,7.053,4118,125000000,634502312,tt6166392,787699,"['Comedy', 'Family', 'Fantasy']",2023,No,1.03,128750000.0,653537381.36
Work It,7.506,1198,0,0,tt10276470,612706,"['Comedy', 'Music']",2020,No,1.21,0.0,0.0
Wrath of Man,7.592,5811,40000000,103966489,tt11083552,637649,"['Thriller', 'Crime', 'Drama']",2021,No,1.16,46400000.0,120601127.24
X,6.734,3727,1000000,15113105,tt13560574,760104,"['Horror', 'Thriller']",2022,No,1.07,1070000.0,16171022.350000001
X-Men: Apocalypse,6.517,13441,178000000,543934787,tt3385516,246655,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",2016,No,1.31,233180000.0,712554570.97
Yesterday,6.688,4109,26000000,154608856,tt8079248,515195,"['Comedy', 'Fantasy', 'Music', 'Romance']",2019,No,1.23,31980000.0,190168892.88
You Were Never Really Here,6.545,2934,17000000,9400000,tt5742374,398181,"['Crime', 'Drama', 'Thriller']",2017,No,1.28,21760000.0,12032000.0
Your Fault,7.132,1454,0,0,tt28510079,1156593,"['Drama', 'Romance']",2024,No,1.0,0.0,0.0
Your Name.,8.5,12099,0,358000000,tt5311514,372058,"['Animation', 'Romance', 'Drama']",2016,No,1.31,0.0,468980000.0
Youth,6.9,2144,13360000,2000000,tt3312830,310593,"['Comedy', 'Drama', 'Romance']",2015,No,1.32,17635200.0,2640000.0
Zack Snyder's Justice League,8.102,10479,70000000,0,tt12361974,791373,"['Action', 'Adventure', 'Fantasy']",2021,No,1.16,81200000.0,0.0
Zombieland: Double Tap,6.9,6022,42000000,122810399,tt1560220,338967,"['Horror', 'Comedy']",2019,No,1.23,51660000.0,151056790.77
Zootopia,7.8,17070,150000000,1025521689,tt2948356,269149,"['Animation', 'Adventure', 'Family', 'Comedy']",2016,No,1.31,196500000.0,1343433412.5900002
mother!,6.967,6909,30000000,44516999,tt5109784,381283,"['Drama', 'Horror']",2017,No,1.28,38400000.0,56981758.72
"tick, tick... BOOM!",7.612,2214,0,0,tt8721424,537116,"['Drama', 'Music']",2021,No,1.16,0.0,0.0
xXx: Return of Xander Cage,6.135,9120,85000000,346118277,tt1293847,47971,"['Action', 'Adventure', 'Crime']",2017,No,1.28,108800000.0,443031394.56
